Date,Followers
2025-05-10,1747
2025-05-11,1745
2025-05-12,1745
2025-05-13,1745
2025-05-14,1742
2025-05-15,1744
2025-05-16,1743
2025-05-17,1742
2025-05-18,1742
2025-05-19,1743
2025-05-20,1742
2025-05-21,1743
2025-05-22,1743
2025-05-23,1742
2025-05-24,1742
2025-05-25,1742
2025-05-26,1742
2025-05-27,1743
2025-05-28,1742
2025-05-29,1742
2025-05-30,1742
2025-05-31,1741
2025-06-01,1741
2025-06-02,1742
2025-06-03,1742
2025-06-04,1741
2025-06-05,1741
2025-06-06,1744
2025-06-07,1744
2025-06-08,1743
2025-06-09,1743
2025-06-10,1743
2025-06-11,1743
